"","ResponseId","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","HEX_O_1","HEX_C_2","HEX_A_3","HEX_X_4","HEX_E_5","HEX_HH_6","HEX_O_7","HEX_C_8","HEX_A_9","HEX_X_10","HEX_E_11","HEX_HH_12","HEX_O_13","HEX_C_14","HEX_A_15","HEX_X_16","HEX_E_17","HEX_HH_18","HEX_O_19","HEX_C_20","HEX_A_21","HEX_X_22","HEX_E_23","HEX_HH_24","HEX_O_25","HEX_C_26","HEX_A_27","HEX_X_28","HEX_E_29","HEX_HH_30","HEX_O_31","HEX_C_32","HEX_A_33","HEX_X_34","HEX_E_35","HEX_HH_36","HEX_O_37","HEX_C_38","HEX_A_39","HEX_X_40","HEX_E_41","HEX_HH_42","HEX_O_43","HEX_C_44","HEX_A_45","HEX_X_46","HEX_E_47","HEX_HH_48","HEX_O_49","HEX_C_50","HEX_A_51","HEX_X_52","HEX_E_53","HEX_HH_54","HEX_O_55","HEX_C_56","HEX_A_57","HEX_X_58","HEX_E_59","HEX_HH_60","BFI_X_1","BFI_A_2","BFI_C_3","BFI_E_4","BFI_O_5","BFI_X_6","BFI_A_7","BFI_C_8","BFI_E_9","BFI_O_10","BFI_X_11","BFI_A_12","BFI_C_13","BFI_E_14","BFI_O_15","BFI_X_16","BFI_A_17","BFI_C_18","BFI_E_19","BFI_O_20","BFI_X_21","BFI_A_22","BFI_C_23","BFI_E_24","BFI_O_25","BFI_X_26","BFI_A_27","BFI_C_28","BFI_E_29","BFI_O_30","BFI_X_31","BFI_A_32","BFI_C_33","BFI_E_34","BFI_O_35","BFI_X_36","BFI_A_37","BFI_C_38","BFI_E_39","BFI_O_40","BFI_X_41","BFI_A_42","BFI_C_43","BFI_E_44","BFI_O_45","BFI_X_46","BFI_A_47","BFI_C_48","BFI_E_49","BFI_O_50","BFI_X_51","BFI_A_52","BFI_C_53","BFI_E_54","BFI_O_55","BFI_X_56","BFI_A_57","BFI_C_58","BFI_E_59","BFI_O_60","BFAS_Vol_1","BFAS_Vol_2","BFAS_Vol_3","BFAS_Vol_4","BFAS_With_1","BFAS_With_2","BFAS_With_3","BFAS_With_4","BFAS_Comp_1","BFAS_Comp_2","BFAS_Comp_3","BFAS_Comp_4","BFAS_Pol_1","BFAS_Pol_2","BFAS_Pol_3","BFAS_Pol_4","BFAS_Ind_1","BFAS_Ind_2","BFAS_Ind_3","BFAS_Ind_4","BFAS_Ord_1","BFAS_Ord_2","BFAS_Ord_3","BFAS_Ord_4","BFAS_Enth_1","BFAS_Enth_2","BFAS_Enth_3","BFAS_Enth_4","BFAS_Ass_1","BFAS_Ass_2","BFAS_Ass_3","BFAS_Ass_4","BFAS_Int_1","BFAS_Int_2","BFAS_Int_3","BFAS_Int_4","BFAS_Open_1","BFAS_Open_2","BFAS_Open_3","BFAS_Open_4","Eth","Gen","Emp","WorkHrs","Edu","AttnCheck","BFAS_Vol","BFAS_With","BFAS_Comp","BFAS_Pol","BFAS_Ind","BFAS_Ord","BFAS_Enth","BFAS_Assert","BFAS_Intel","BFAS_Open","HEX_HH","HEX_E","HEX_X","HEX_A","HEX_C","HEX_O","BFI_X","BFI_A","BFI_C","BFI_E","BFI_O","PANAS_Pos","PANAS_Neg"
"1","R_qKGGnT9gfqurKG5",4,4,2,4,2,4,1,3,2,2,4,2,2,2,4,3,4,2,2,1,5,4,2,2,2,5,5,4,2,5,5,5,4,4,2,4,4,4,4,4,2,1,4,4,4,3,2,2,4,3,4,5,2,4,5,5,5,4,1,2,4,3,3,3,2,2,4,4,4,4,3,2,4,4,5,4,2,5,5,5,4,4,3,4,5,5,5,2,4,5,2,2,4,4,4,4,2,4,4,5,4,4,3,5,5,1,2,3,4,4,3,3,3,5,4,3,3,4,4,4,2,4,4,3,5,5,4,3,4,5,4,4,4,4,5,2,2,4,4,4,4,5,4,4,4,5,4,3,4,5,5,5,4,3,2,5,2,3,4,3,4,2,5,4,4,4,3,2,5,4,4,3,5,5,5,5,5,4,5,4,6,1,1,40,8,0,4.25,4,4.75,3.5,3,3.75,3.25,4,5,4.5,4.2,4.1,2.9,2,3.9,4.3,3.25,3.25,3.41666666666667,4.08333333333333,4.58333333333333,2.5,2.9
"4","R_2xFBCOrQBgH6qbr",4,1,2,1,3,1,1,2,3,3,2,4,1,3,2,4,4,1,3,2,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,4,5,4,3,3,2,4,5,3,3,2,4,4,5,3,3,3,4,3,4,3,3,2,3,4,5,3,3,2,4,4,3,4,5,2,4,4,4,4,3,2,4,3,4,5,2,4,3,4,5,2,4,3,4,4,2,4,3,4,4,3,5,3,4,3,3,4,4,3,5,2,4,3,3,5,2,4,3,3,5,2,4,3,4,4,2,4,3,3,5,2,3,4,4,4,2,4,3,4,4,2,4,2,3,2,2,2,1,3,2,3,3,4,3,4,5,4,5,4,4,4,4,5,4,4,3,3,3,3,4,3,3,4,3,4,4,3,4,3,4,2,4,6,1,3,0,3,0,2.25,2,3.25,4.5,4,4,3.25,3.25,3.75,3.25,3.7,2.6,3.4,3.4,4.3,3.9,3.16666666666667,3.66666666666667,4.41666666666667,2.16666666666667,4,3.3,1.4
"5","R_31EnDz62hjBJMNA",3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,1,1,1,2,4,4,1,4,4,4,2,4,2,2,3,4,4,5,1,1,4,5,4,5,2,1,5,1,4,3,1,4,5,4,2,4,1,2,4,2,3,2,1,2,3,4,4,4,1,1,5,2,1,4,2,2,5,4,3,4,1,2,4,1,3,4,2,2,1,4,1,2,2,2,5,4,1,2,1,3,3,4,3,1,5,3,4,2,1,4,4,2,2,1,3,3,1,4,1,4,2,1,4,1,2,2,2,5,1,2,4,2,2,1,4,4,2,4,1,2,3,1,2,1,1,2,1,2,1,4,2,3,2,2,2,5,5,5,4,3,3,4,5,2,2,3,2,1,1,1,1,1,1,1,1,4,4,4,4,2,2,5,2,6,1,4,0,2,0,1.25,2.25,2.25,4.75,3.75,2.25,1,1,4,2.75,4.2,2.1,1.3,3.9,3.1,3.2,1.08333333333333,3.41666666666667,3.08333333333333,2,2.83333333333333,1.8,1
"6","R_3dYsyAh74CL5f7s",5,5,4,5,2,2,4,1,4,1,5,4,1,4,4,4,5,4,4,4,5,2,1,2,5,1,5,5,2,4,5,5,5,2,1,2,5,1,5,5,2,1,5,4,5,4,2,2,5,1,5,5,2,2,5,2,5,4,2,4,5,1,4,5,2,1,5,2,5,5,2,2,5,2,2,5,4,1,5,4,1,5,4,5,5,2,2,5,5,1,5,2,4,5,4,1,5,5,5,4,1,4,2,2,2,2,2,2,5,5,1,4,4,5,5,2,4,5,5,1,1,1,4,4,5,1,2,5,5,4,2,4,5,5,2,2,2,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,2,4,4,5,5,5,5,2,2,2,4,4,2,2,2,2,2,2,1,5,5,4,5,6,2,1,55,5,0,4.75,5,4.75,4.5,3.5,5,2.5,2.5,1.75,4.75,2.3,5,2.1,2,4.2,4.6,1.75,3.08333333333333,4.08333333333333,4.66666666666667,3.5,3.7,3.5
"7","R_2e2NMhtkyT6Vnc5",4,2,3,2,5,4,1,1,4,4,2,4,4,2,4,5,5,2,2,1,2,4,2,5,4,5,5,4,5,4,5,2,4,5,4,4,5,5,5,5,5,3,2,5,1,4,2,5,1,5,5,2,5,2,5,4,5,4,1,2,4,5,5,5,5,4,5,5,4,2,4,5,1,5,4,2,2,2,4,2,4,5,2,2,4,2,4,2,4,5,4,4,5,1,4,2,5,2,4,4,2,4,2,1,5,2,4,4,2,5,2,5,1,4,4,2,5,5,4,5,2,4,5,1,5,2,5,2,4,4,2,4,5,5,5,4,5,2,1,5,1,2,1,1,5,4,2,2,4,5,5,5,5,4,5,5,2,2,4,5,1,1,1,2,4,4,4,4,4,2,2,2,5,5,5,4,5,4,4,4,6,2,2,0,5,0,1.25,3.25,4.75,4.75,3.25,1.25,4,2.5,4.75,4.25,4.3,3.6,3.6,3.5,3.7,4,2.5,4.5,3.08333333333333,2.75,4.58333333333333,3.8,2.3
"8","R_bxfkf1rETddt0uB",2,4,1,4,2,5,4,4,2,1,5,4,5,2,5,4,4,5,1,4,1,5,2,1,2,5,4,4,1,4,5,4,2,5,2,1,2,4,5,4,2,1,2,5,4,5,2,3,5,5,5,5,1,1,5,5,5,5,2,1,2,5,5,4,1,1,1,5,2,4,1,1,5,5,1,4,2,2,4,5,1,5,1,5,2,4,5,2,5,4,2,2,1,5,5,1,5,2,5,4,3,2,1,5,2,1,2,2,5,4,1,5,2,5,4,2,5,4,4,2,1,2,1,5,5,2,4,2,5,2,4,5,2,5,2,2,2,2,5,4,5,5,5,5,5,5,5,5,5,2,4,4,5,5,2,5,2,2,3,1,4,2,4,5,1,2,1,2,4,1,3,1,4,2,4,2,4,4,5,2,6,2,7,0,3,0,5,5,3.75,4.25,2,3.75,1.5,2.25,3,3.75,4.8,3.3,1.6,1.6,4.5,3.4,2,3.66666666666667,1.83333333333333,4.91666666666667,3.33333333333333,2.3,4.5
"10","R_3HBOcnkxjEU1yUc",4,3,3,2,4,2,2,1,4,4,2,4,1,4,4,4,4,1,4,2,4,5,2,4,4,2,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,2,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,2,3,4,5,4,2,4,4,3,4,4,2,2,2,5,4,2,4,2,4,4,2,4,2,4,4,3,5,2,4,4,2,5,4,4,4,2,4,2,4,4,4,5,3,4,4,2,4,4,3,4,2,4,3,5,4,4,4,2,4,4,2,4,4,3,4,2,4,2,2,2,2,3,4,4,4,4,5,5,4,5,5,4,5,4,4,5,4,4,4,4,4,4,2,4,4,2,3,3,3,2,4,2,2,4,4,4,2,6,1,1,40,2,0,2,3.75,4.5,4.75,4.25,4,3.5,2.75,2.5,3.5,3.6,3.5,3.4,3.7,4.3,3.5,2.75,4,4,2.41666666666667,4.08333333333333,3.9,2
"11","R_2vdmlOs8nLZjaqT",5,1,2,1,4,1,1,2,4,3,4,4,1,3,4,5,5,1,4,1,5,5,2,3,2,2,4,3,4,3,2,1,4,5,3,1,2,4,2,5,5,4,1,3,5,5,2,2,2,5,5,5,4,2,1,2,3,4,3,2,2,4,4,4,4,3,5,3,2,3,4,5,3,2,5,4,3,2,3,1,2,4,5,3,2,2,4,5,2,5,3,3,5,2,3,1,4,5,4,3,3,4,3,3,5,4,2,5,2,4,1,4,5,1,4,2,3,3,2,5,3,2,4,2,5,1,4,5,3,1,4,4,5,2,5,1,2,4,1,4,2,3,2,1,3,1,4,3,3,3,4,4,5,4,4,5,5,3,5,4,5,5,4,3,1,1,2,2,3,2,4,3,3,5,3,5,5,4,4,4,4,1,1,40,5,0,2,2.75,3.5,4.5,4.25,4.25,1.5,3,4,4.25,2.7,2.3,2.7,3.4,4.3,3.9,2.25,3.33333333333333,4.5,2.25,3.83333333333333,3.9,1.7
"12","R_3Du8Gr2myI6uGtp",5,2,4,2,4,1,2,2,4,4,2,5,1,4,2,5,5,1,4,2,4,4,4,4,4,4,2,4,2,3,4,5,4,4,2,2,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,4,2,2,4,4,2,4,2,2,4,4,2,2,4,4,4,4,2,3,2,2,4,4,2,4,4,2,4,4,4,4,4,4,4,2,4,2,4,2,4,4,4,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,2,2,4,4,2,4,3,2,4,2,4,3,2,2,3,2,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,3,2,2,2,2,4,4,4,4,4,4,4,4,6,2,5,0,2,0,2.5,2.75,4,4,4,3.75,2.75,2,4,4,4.1,3.9,2.7,2.6,3.7,3,2.75,3.5,4,2.5,3.66666666666667,4.4,1.7
"13","R_2bIBs2SJGz3iJkN",2,3,1,1,5,4,1,5,1,1,1,2,5,3,5,3,4,3,5,5,2,2,5,1,3,2,2,5,1,3,1,3,2,5,2,1,2,1,5,2,1,3,4,3,1,1,1,5,2,4,5,1,2,1,5,5,5,3,3,3,3,2,1,2,5,5,3,3,2,3,2,5,2,3,3,5,5,4,5,3,3,1,5,1,5,1,5,3,3,5,1,1,2,1,5,2,2,4,1,3,4,1,4,2,3,2,1,5,4,1,2,2,2,4,3,3,3,4,5,5,5,1,3,1,5,2,3,4,5,5,2,2,3,5,3,2,4,4,4,1,4,1,2,5,4,4,2,3,4,2,3,1,1,5,5,2,4,3,1,2,3,2,2,4,1,5,2,1,1,4,4,3,4,2,2,2,4,4,2,1,3,1,3,0,3,0,3,3.25,2.5,3.25,2.5,2.75,2.25,3,2.5,2.75,2.9,3,3.1,2.7,2.9,2.8,2.41666666666667,2.16666666666667,3.58333333333333,3,3.66666666666667,2.7,3.3
